Data Number, is_interesting, Nose x, Nose y, Nose score, Neck x, Neck y, Neck score, RShoulder x, RShoulder y, RShoulder score, RElbow x, RElbow y, RElbow score, RWrist x, RWrist y, RWrist score, LShoulder x, LShoulder y, LShoulder score, LElbow x, LElbow y, LElbow score, LWrist x, LWrist y, LWrist score, RHip x, RHip y, RHip score, RKnee x, RKnee y, RKnee score, RAnkle x, RAnkle y, RAnkle score, LHip x, LHip y, LHip score, LKnee x, LKnee y, LKnee score, LAnkle x, LAnkle y, LAnkle score, REye x, REye y, REye score, LEye x, LEye y, LEye score, REar x, REar y, REar score, LEar x, LEar y, LEar score, Background x, Background y, Background score
95, 1, -1, -1, 0, 0.3858695652173913, 0.09722222222222222, 0.7673161625862122, 0.3532608695652174, 0.09259259259259259, 0.7069759964942932, 0.3532608695652174, 0.14814814814814814, 0.3404541015625, 0.3858695652173913, 0.18055555555555555, 0.11857125908136368, 0.41304347826086957, 0.10185185185185185, 0.6676706075668335, 0.42934782608695654, 0.16203703703703703, 0.27879178524017334, 0.41304347826086957, 0.16203703703703703, 0.0922873318195343, 0.358695652173913, 0.2222222222222222, 0.31336843967437744, -1, -1, 0, -1, -1, 0, 0.3967391304347826, 0.22685185185185186, 0.35672813653945923, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, 0, 0.3858695652173913, 0.046296296296296294, 0.9447616338729858, -1, -1, 0, -1, -1, 0
95, 1, 0.45108695652173914, 0.06481481481481481, 0.6108835339546204, 0.4782608695652174, 0.125, 0.7896624803543091, 0.44021739130434784, 0.12037037037037036, 0.7285146713256836, -1, -1, 0, -1, -1, 0, 0.5163043478260869, 0.12962962962962962, 0.7894315719604492, 0.5380434782608695, 0.18518518518518517, 0.4969196915626526, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, 0, 0.4891304347826087, 0.22685185185185186, 0.25722289085388184, -1, -1, 0, -1, -1, 0, 0.43478260869565216, 0.05555555555555555, 0.4775086045265198, 0.483695652173913, 0.06944444444444445, 0.8210920095443726, 0.45108695652173914, 0.07407407407407407, 0.4615119397640228, 0.5054347826086957, 0.0787037037037037, 0.7547880411148071, -1, -1, 0
95, 1, 0.5108695652173914, 0.2777777777777778, 0.5832242369651794, 0.34782608695652173, 0.3055555555555556, 0.4358923137187958, 0.42391304347826086, 0.35648148148148145, 0.4749033749103546, 0.5271739130434783, 0.4444444444444444, 0.5682430863380432, 0.5978260869565217, 0.375, 0.6702778339385986, 0.28804347826086957, 0.26851851851851855, 0.33946582674980164, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, 0, 0.5054347826086957, 0.25925925925925924, 0.7523384690284729, -1, -1, 0, 0.46195652173913043, 0.25462962962962965, 0.8755751848220825, -1, -1, 0, -1, -1, 0
96, 1, 0.4782608695652174, 0.07407407407407407, 0.8752782940864563, 0.483695652173913, 0.125, 0.8158409595489502, 0.45108695652173914, 0.125, 0.5807070732116699, -1, -1, 0, -1, -1, 0, 0.5217391304347826, 0.125, 0.8633269667625427, 0.5434782608695652, 0.18981481481481483, 0.629455029964447, 0.532608695652174, 0.18981481481481483, 0.43780550360679626, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, 0, 0.4673913043478261, 0.06481481481481481, 0.8039365410804749, 0.5, 0.07407407407407407, 0.8019610047340393, 0.42934782608695654, 0.06018518518518518, 0.657023549079895, 0.5108695652173914, 0.08333333333333333, 0.6535770893096924, -1, -1, 0
96, 1, -1, -1, 0, 0.3967391304347826, 0.09722222222222222, 0.7955552935600281, 0.3695652173913043, 0.09722222222222222, 0.6269683837890625, 0.3858695652173913, 0.16666666666666666, 0.4644979238510132, 0.40217391304347827, 0.18055555555555555, 0.0937953069806099, 0.41847826086956524, 0.09722222222222222, 0.7847613096237183, 0.44021739130434784, 0.1527777777777778, 0.3732612431049347, -1, -1, 0, 0.375, 0.2175925925925926, 0.21642029285430908, -1, -1, 0, -1, -1, 0, 0.42391304347826086, 0.21296296296296297, 0.23541270196437836, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, 0
96, 1, 0.483695652173913, 0.2638888888888889, 0.5954711437225342, 0.34782608695652173, 0.2916666666666667, 0.6394973397254944, 0.3967391304347826, 0.3148148148148148, 0.5820887088775635, 0.42391304347826086, 0.48148148148148145, 0.712752103805542, 0.5760869565217391, 0.5, 0.8244038820266724, 0.29347826086956524, 0.2638888888888889, 0.49029937386512756, -1, -1, 0, -1, -1, 0, 0.29891304347826086, 0.5277777777777778, 0.11608424782752991, -1, -1, 0, -1, -1, 0, 0.21739130434782608, 0.5092592592592593, 0.08815525472164154, -1, -1, 0, -1, -1, 0, 0.483695652173913, 0.24537037037037038, 0.7740530967712402, -1, -1, 0, 0.43478260869565216, 0.22685185185185186, 0.7570388913154602, -1, -1, 0, -1, -1, 0
97, 1, 0.5054347826086957, 0.16666666666666666, 0.8791099190711975, 0.43478260869565216, 0.2777777777777778, 0.6918426752090454, 0.3532608695652174, 0.28703703703703703, 0.6864694952964783, 0.33152173913043476, 0.44907407407407407, 0.8216643929481506, 0.44565217391304346, 0.5601851851851852, 0.7373079061508179, 0.5217391304347826, 0.2638888888888889, 0.7366956472396851, 0.5434782608695652, 0.3888888888888889, 0.689521074295044, 0.5869565217391305, 0.4305555555555556, 0.569443941116333, 0.44021739130434784, 0.5555555555555556, 0.36811524629592896, 0.46195652173913043, 0.6666666666666666, 0.10966330021619797, -1, -1, 0, 0.532608695652174, 0.5092592592592593, 0.3861750066280365, -1, -1, 0, -1, -1, 0, 0.4782608695652174, 0.14351851851851852, 0.7937352657318115, 0.5163043478260869, 0.14814814814814814, 0.6946967244148254, 0.4076086956521739, 0.14351851851851852, 0.7437196969985962, -1, -1, 0, -1, -1, 0
99, 1, 0.46195652173913043, 0.3148148148148148, 0.8125287294387817, 0.3423913043478261, 0.4027777777777778, 0.5581797361373901, 0.3423913043478261, 0.4166666666666667, 0.6034258008003235, 0.3804347826086957, 0.5925925925925926, 0.7032393217086792, 0.5380434782608695, 0.5833333333333334, 0.6905555725097656, 0.3423913043478261, 0.39351851851851855, 0.3390173017978668, -1, -1, 0, -1, -1, 0, 0.3641304347826087, 0.6712962962962963, 0.5158800482749939, 0.375, 0.8194444444444444, 0.394207626581192, 0.3804347826086957, 0.8842592592592593, 0.09282954037189484, 0.41304347826086957, 0.6712962962962963, 0.31084737181663513, 0.3967391304347826, 0.8055555555555556, 0.14360612630844116, -1, -1, 0, 0.45108695652173914, 0.2916666666666667, 0.7198272943496704, -1, -1, 0, 0.3858695652173913, 0.2824074074074074, 0.833794891834259, -1, -1, 0, -1, -1, 0
101, 1, 0.30434782608695654, 0.21296296296296297, 0.8162862062454224, 0.32065217391304346, 0.3425925925925926, 0.6975012421607971, 0.19021739130434784, 0.3472222222222222, 0.6742309331893921, 0.1793478260869565, 0.5092592592592593, 0.7498260736465454, 0.32608695652173914, 0.5046296296296297, 0.6874516010284424, 0.44565217391304346, 0.3472222222222222, 0.7148463129997253, 0.4782608695652174, 0.49537037037037035, 0.7233480215072632, 0.5760869565217391, 0.5509259259259259, 0.7729512453079224, 0.2391304347826087, 0.6203703703703703, 0.5264835357666016, 0.2608695652173913, 0.7777777777777778, 0.44418662786483765, 0.2717391304347826, 0.8888888888888888, 0.35057613253593445, 0.41304347826086957, 0.5972222222222222, 0.4653697907924652, 0.44021739130434784, 0.7546296296296297, 0.3946644961833954, 0.45652173913043476, 0.8425925925925926, 0.3183797597885132, 0.28804347826086957, 0.18981481481481483, 0.8703853487968445, 0.33695652173913043, 0.19444444444444445, 0.8373041749000549, 0.25, 0.2037037037037037, 0.7598925828933716, 0.375, 0.2175925925925926, 0.8211333751678467, -1, -1, 0
102, 1, 0.5163043478260869, 0.2222222222222222, 0.7658671140670776, 0.41304347826086957, 0.30092592592592593, 0.7056325674057007, 0.33152173913043476, 0.3055555555555556, 0.6602537631988525, 0.27717391304347827, 0.44907407407407407, 0.7790833115577698, 0.41847826086956524, 0.49074074074074076, 0.6785647869110107, 0.4891304347826087, 0.30092592592592593, 0.6796512007713318, 0.5, 0.4212962962962963, 0.5275401473045349, 0.5706521739130435, 0.4583333333333333, 0.5914421677589417, 0.375, 0.5555555555555556, 0.5458453297615051, 0.375, 0.6990740740740741, 0.4659419357776642, -1, -1, 0, 0.483695652173913, 0.5277777777777778, 0.46491262316703796, 0.4673913043478261, 0.6620370370370371, 0.08845966309309006, -1, -1, 0, 0.5054347826086957, 0.19444444444444445, 0.8727604150772095, 0.5271739130434783, 0.2037037037037037, 0.3606826663017273, 0.42934782608695654, 0.17592592592592593, 0.8224435448646545, -1, -1, 0, -1, -1, 0
